MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1351646	Abca7	ATP-binding cassette, sub-family A (ABC1), member 7	10		ruffle membrane	exists during phagocytosis		IDA		J:112621 	
MGI:2386846	Abca8a	ATP-binding cassette, sub-family A (ABC1), member 8a	11		plasma membrane			IEA	KW-1003 	J:60000 	
MGI:1351668	Abca8b	ATP-binding cassette, sub-family A (ABC1), member 8b	11		plasma membrane			ISO	O94911 	J:164563 	
MGI:2676312	Abca12	ATP-binding cassette, sub-family A (ABC1), member 12	1		plasma membrane			ISO	Q86UK0 	J:164563 	
MGI:97570	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	5		apical plasma membrane			IDA		J:235270 	
MGI:97570	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	5		apical plasma membrane			ISO	RGD:619951 	J:155856 	
MGI:97570	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	5		apical plasma membrane			ISO	P08183 	J:164563 	
MGI:97570	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	5		brush border membrane			ISO	RGD:619951 	J:155856 	
MGI:97570	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	5		plasma membrane			IBA	PTN002516971 	J:265628 	
MGI:97570	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	5		plasma membrane			ISO	P08183 	J:164563 	
MGI:97568	Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	5		apical plasma membrane			ISO	RGD:3318 	J:155856 	
MGI:97568	Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	5		external side of apical plasma membrane			ISO	RGD:3318 	J:155856 	
MGI:97568	Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	5		plasma membrane			IBA	PTN002516971 	J:265628 	
MGI:97569	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	5		apical plasma membrane			ISO	RGD:620248 	J:155856 	
MGI:97569	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	5		apical plasma membrane			ISO	P21439 	J:164563 	
MGI:97569	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	5		plasma membrane			IBA	PTN002516971 	J:265628 	
MGI:97569	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	5		plasma membrane			IDA		J:32078 	
MGI:97569	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	5		plasma membrane			ISO	P21439 	J:164563 	
MGI:97569	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	5		plasma membrane			TAS		J:15531 	
MGI:1924956	Abcb5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	12		integral component of plasma membrane			IDA		J:213708 	
MGI:1924956	Abcb5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	12		integral component of plasma membrane			ISO	Q2M3G0 	J:164563 	
MGI:1924956	Abcb5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	12		plasma membrane			IEA	KW-1003 	J:60000 	
MGI:1921354	Abcb6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	1		plasma membrane			ISO	Q9NP58 	J:164563 	
MGI:1351619	Abcb11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	2		apical plasma membrane			ISO	RGD:619930 	J:155856 	
MGI:1351619	Abcb11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	2		apical plasma membrane			ISO	O95342 	J:164563 	
MGI:1351619	Abcb11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	2		intracellular canaliculus			ISO	RGD:619930 	J:155856 	
MGI:1351619	Abcb11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	2		plasma membrane			IMP		J:215076 	
MGI:1351619	Abcb11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	2		plasma membrane			ISO	RGD:619930 	J:155856 	
MGI:1351619	Abcb11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	2		plasma membrane			ISO	O95342 	J:164563 	
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		apical plasma membrane			ISO	P33527 	J:164563 	
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		basal plasma membrane			ISO	RGD:3112 	J:155856 	
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		basal plasma membrane			ISO	P33527 	J:164563 	
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		basolateral plasma membrane			IBA	PTN002795564 	J:265628 	
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		basolateral plasma membrane			ISO	RGD:3112 	J:155856 	
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		basolateral plasma membrane			ISO	P33527 	J:164563 	
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		integral component of plasma membrane			IDA		J:85619 	
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		integral component of plasma membrane			ISO	RGD:3112 	J:155856 	
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		lateral plasma membrane			ISO	P33527 	J:164563 	
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		plasma membrane			ISO	RGD:3112 	J:155856 	
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		plasma membrane			ISO	P33527 	J:164563 	
MGI:1352447	Abcc2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	19		apical plasma membrane			IBA	PTN002795699 	J:265628 	
MGI:1352447	Abcc2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	19		apical plasma membrane			IDA		J:85619 	
MGI:1352447	Abcc2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	19		apical plasma membrane			ISO	RGD:2366 	J:155856 	
MGI:1352447	Abcc2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	19		apical plasma membrane			ISO	Q92887 	J:164563 	
MGI:1352447	Abcc2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	19		brush border membrane			ISO	RGD:2366 	J:155856 	
MGI:1352447	Abcc2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	19		integral component of plasma membrane			IDA		J:85619 	
MGI:1352447	Abcc2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	19		intracellular canaliculus			ISO	RGD:2366 	J:155856 	
MGI:1923658	Abcc3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	11		basolateral plasma membrane			IDA		J:149653 	
MGI:1923658	Abcc3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	11		basolateral plasma membrane			ISO	RGD:71101 	J:155856 	
MGI:1923658	Abcc3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	11		integral component of plasma membrane			IDA		J:85619 	
MGI:1923658	Abcc3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	11		plasma membrane			ISO	RGD:71101 	J:155856 	
MGI:1923658	Abcc3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	11		plasma membrane			ISO	O15438 	J:164563 	
MGI:2443111	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	14		apical plasma membrane			ISO	O15439 	J:164563 	
MGI:2443111	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	14		basolateral plasma membrane			ISO	RGD:620266 	J:155856 	
MGI:2443111	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	14		basolateral plasma membrane			ISO	O15439 	J:164563 	
MGI:2443111	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	14		external side of apical plasma membrane			ISO	RGD:620266 	J:155856 	
MGI:2443111	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	14		plasma membrane			IBA	PTN002384279 	J:265628 	
MGI:2443111	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	14		plasma membrane	is a part of inner medullary collecting duct		IDA		J:217714 	
MGI:2443111	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	14		plasma membrane			ISO	Q8QFL6 	J:217714 	
MGI:2443111	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	14		plasma membrane			ISO	O15439 	J:73065 J:217714 	
MGI:1351644	Abcc5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	16		apical plasma membrane			ISO	O15440 	J:164563 	
MGI:1351644	Abcc5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	16		basolateral plasma membrane			ISO	RGD:70913 	J:155856 	
MGI:1351644	Abcc5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	16		basolateral plasma membrane			ISO	O15440 	J:164563 	
MGI:1351644	Abcc5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	16		plasma membrane			ISO	O15440 	J:164563 	
MGI:1351634	Abcc6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	7		apical plasma membrane			ISO	RGD:620268 	J:155856 	
MGI:1351634	Abcc6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	7		basolateral plasma membrane			IDA		J:105062 	
MGI:1351634	Abcc6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	7		basolateral plasma membrane			ISO	RGD:620268 	J:155856 	
MGI:1351634	Abcc6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	7		lateral plasma membrane			ISO	RGD:620268 	J:155856 	
MGI:1351634	Abcc6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	7		plasma membrane			ISO	O95255 	J:164563 	
MGI:1352629	Abcc8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	7		inward rectifying potassium channel			ISO	RGD:3786 	J:155856 	
MGI:1352629	Abcc8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	7		inward rectifying potassium channel			ISO	Q09428 	J:164563 	
MGI:1352629	Abcc8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	7		plasma membrane			IDA		J:103335 	
MGI:1352629	Abcc8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	7		sarcolemma			ISO	RGD:3786 	J:155856 	
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	6		inward rectifying potassium channel			ISO	RGD:3787 	J:155856 	
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	6		inward rectifying potassium channel			ISO	O60706 	J:164563 	
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	6		plasma membrane			IDA		J:103335 	
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	6		plasma membrane			ISO	RGD:3787 	J:155856 	
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	6		sarcolemma	is a part of cardiac muscle cell	PR:P70170-1	IDA		J:165682 	
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	6		T-tubule			ISO	RGD:3787 	J:155856 	
MGI:2386976	Abcc10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	17		basolateral plasma membrane			ISO	Q5T3U5 	J:164563 	
MGI:2386976	Abcc10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	17		plasma membrane			ISO	Q5T3U5 	J:164563 	
MGI:107704	Abcg1	ATP binding cassette subfamily G member 1	17		external side of plasma membrane			IDA		J:150920 	
MGI:107704	Abcg1	ATP binding cassette subfamily G member 1	17		external side of plasma membrane			ISO	P45844 	J:164563 	
MGI:107704	Abcg1	ATP binding cassette subfamily G member 1	17		plasma membrane			IBA	PTN000443095 	J:265628 	
MGI:107704	Abcg1	ATP binding cassette subfamily G member 1	17		plasma membrane			ISO	P45844 	J:164563 	
MGI:1347061	Abcg2	ATP binding cassette subfamily G member 2 (Junior blood group)	6		apical plasma membrane			IDA		J:80519 	
MGI:1347061	Abcg2	ATP binding cassette subfamily G member 2 (Junior blood group)	6		apical plasma membrane			ISO	RGD:631345 	J:155856 	
MGI:1347061	Abcg2	ATP binding cassette subfamily G member 2 (Junior blood group)	6		brush border membrane			ISO	Q9UNQ0 	J:164563 	
MGI:1347061	Abcg2	ATP binding cassette subfamily G member 2 (Junior blood group)	6		external side of apical plasma membrane			ISO	RGD:631345 	J:155856 	
MGI:1347061	Abcg2	ATP binding cassette subfamily G member 2 (Junior blood group)	6		plasma membrane			IBA	PTN000443095 	J:265628 	
MGI:1347061	Abcg2	ATP binding cassette subfamily G member 2 (Junior blood group)	6		plasma membrane			ISO	RGD:631345 	J:155856 	
MGI:1347061	Abcg2	ATP binding cassette subfamily G member 2 (Junior blood group)	6		plasma membrane			ISO	Q9UNQ0 	J:164563 	
MGI:1351624	Abcg3	ATP binding cassette subfamily G member 3	5		plasma membrane			IBA	PTN000443095 	J:265628 	
MGI:1890594	Abcg4	ATP binding cassette subfamily G member 4	9		plasma membrane			IBA	PTN000443095 	J:265628 	
MGI:1890594	Abcg4	ATP binding cassette subfamily G member 4	9		plasma membrane			ISO	Q9H172 	J:164563 	
MGI:1351659	Abcg5	ATP binding cassette subfamily G member 5	17		apical plasma membrane			IDA		J:116923 J:248556 	
MGI:1351659	Abcg5	ATP binding cassette subfamily G member 5	17		apical plasma membrane			IMP		J:86723 	
MGI:1351659	Abcg5	ATP binding cassette subfamily G member 5	17		apical plasma membrane			ISO	Q9H222 	J:164563 	
MGI:1351659	Abcg5	ATP binding cassette subfamily G member 5	17		ATP-binding cassette (ABC) transporter complex			ISO	Q9H222 	J:164563 	
MGI:1351659	Abcg5	ATP binding cassette subfamily G member 5	17		integral component of plasma membrane			IDA		J:248556 	
MGI:1351659	Abcg5	ATP binding cassette subfamily G member 5	17		plasma membrane			IEA	KW-1003 	J:60000 	
MGI:1914720	Abcg8	ATP binding cassette subfamily G member 8	17		apical plasma membrane			IDA		J:116923 J:248556 	
MGI:1914720	Abcg8	ATP binding cassette subfamily G member 8	17		apical plasma membrane			IMP		J:86723 	
MGI:1914720	Abcg8	ATP binding cassette subfamily G member 8	17		apical plasma membrane			ISO	Q9H221 	J:164563 	
MGI:1914720	Abcg8	ATP binding cassette subfamily G member 8	17		ATP-binding cassette (ABC) transporter complex			ISO	Q9H221 	J:164563 	
MGI:1914720	Abcg8	ATP binding cassette subfamily G member 8	17		integral component of plasma membrane			IDA		J:248556 	
MGI:1914720	Abcg8	ATP binding cassette subfamily G member 8	17		plasma membrane			IBA	PTN000443095 	J:265628 	
MGI:1914344	Abhd2	abhydrolase domain containing 2	7		plasma membrane			IEA	KW-1003 	J:60000 	
MGI:1914344	Abhd2	abhydrolase domain containing 2	7		sperm plasma membrane			IBA	PTN000846580 	J:265628 	
MGI:1914344	Abhd2	abhydrolase domain containing 2	7		sperm plasma membrane			ISO	P08910 	J:164563 	
MGI:1913332	Abhd6	abhydrolase domain containing 6	14		AMPA glutamate receptor complex			IDA		J:188364 	
MGI:1913332	Abhd6	abhydrolase domain containing 6	14		integral component of postsynaptic membrane	is a part of glutamatergic synapse,is a part of UBERON:0001950		IDA		J:163762 	
MGI:1913332	Abhd6	abhydrolase domain containing 6	14		integral component of postsynaptic membrane	is a part of GABA-ergic synapse,is a part of UBERON:0001950		IDA		J:163762 	
MGI:1923442	Abhd12	abhydrolase domain containing 12	2		AMPA glutamate receptor complex			IDA		J:188364 	
MGI:106388	Abhd17a	abhydrolase domain containing 17A	10		anchored component of postsynaptic density membrane			ISO	RGD:1359682 	J:155856 	
MGI:106388	Abhd17a	abhydrolase domain containing 17A	10		plasma membrane			IBA	PTN000957814 	J:265628 	
MGI:106388	Abhd17a	abhydrolase domain containing 17A	10		plasma membrane			ISO	RGD:1359682 	J:155856 	
MGI:106388	Abhd17a	abhydrolase domain containing 17A	10		plasma membrane			ISO	Q96GS6 	J:164563 	
MGI:106388	Abhd17a	abhydrolase domain containing 17A	10		postsynaptic membrane			IEA	KW-0628 	J:60000 	
MGI:1917816	Abhd17b	abhydrolase domain containing 17B	19		anchored component of postsynaptic density membrane			ISO	RGD:1305246 	J:155856 	
MGI:1917816	Abhd17b	abhydrolase domain containing 17B	19		plasma membrane			IBA	PTN000957814 	J:265628 	
MGI:1917816	Abhd17b	abhydrolase domain containing 17B	19		plasma membrane			IDA		J:248443 	
MGI:1917816	Abhd17b	abhydrolase domain containing 17B	19		postsynaptic membrane			IEA	KW-0628 	J:60000 	
MGI:1917428	Abhd17c	abhydrolase domain containing 17C	7		plasma membrane			IBA	PTN000957814 	J:265628 	
MGI:1917428	Abhd17c	abhydrolase domain containing 17C	7		postsynaptic membrane			IEA	KW-0628 	J:60000 	
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	1		phagocytic cup	is a part of macrophage		IDA		J:190676 	
MGI:107771	Abr	active BCR-related gene	11		plasma membrane	is a part of bone marrow,is a part of macrophage		IDA		J:118168 	
MGI:2444891	Abra	actin-binding Rho activating protein	15		plasma membrane			ISO	Q8N0Z2 	J:164563 	
MGI:1933148	Abtb1	ankyrin repeat and  BTB (POZ) domain containing 1	6		plasma membrane			ISO	Q969K4 	J:164563 	
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		basal plasma membrane			ISO	RGD:2493 	J:155856 	
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		brush border membrane			ISO	RGD:2493 	J:155856 	
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		external side of plasma membrane			ISO	P12821 	J:164563 	
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		plasma membrane			IBA	PTN000828236 	J:265628 	
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		plasma membrane			IDA		J:213091 	
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		plasma membrane			ISO	RGD:2493 	J:155856 	
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		plasma membrane			ISO	P12821 	J:164563 	
MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	X		apical plasma membrane			ISO	Q9BYF1 	J:164563 	
MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	X		brush border membrane			IDA		J:146850 	
MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	X		brush border membrane			ISO	Q9BYF1 	J:164563 	
MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	X		plasma membrane			IBA	PTN000828236 	J:265628 	
MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	X		plasma membrane			IDA		J:213091 	
MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	X		plasma membrane			ISO	Q9BYF1 	J:164563 	
MGI:3644400	Ace3	angiotensin I converting enzyme (peptidyl-dipeptidase A) 3	11		plasma membrane			IBA	PTN000828236 	J:265628 	
MGI:87876	Ache	acetylcholinesterase	5		plasma membrane			IDA		J:31461 	
MGI:87876	Ache	acetylcholinesterase	5		plasma membrane			ISO	RGD:69313 	J:155856 	
MGI:87876	Ache	acetylcholinesterase	5		postsynaptic membrane			ISO	RGD:69313 	J:155856 	
MGI:87876	Ache	acetylcholinesterase	5		presynaptic membrane			ISO	RGD:69313 	J:155856 	
MGI:1891824	Acin1	apoptotic chromatin condensation inducer 1	14		plasma membrane			ISO	Q9UKV3 	J:164563 	
MGI:1891697	Ackr2	atypical chemokine receptor 2	9		external side of plasma membrane			IBA	PTN001200797 	J:265628 	
MGI:1891697	Ackr2	atypical chemokine receptor 2	9		integral component of plasma membrane			IEA	IPR033037 	J:72247 	
MGI:1891697	Ackr2	atypical chemokine receptor 2	9		plasma membrane			ISO	O00590 	J:164563 	
MGI:109562	Ackr3	atypical chemokine receptor 3	1		clathrin-coated pit			ISO	P25106 	J:164563 	
MGI:109562	Ackr3	atypical chemokine receptor 3	1		external side of plasma membrane			IBA	PTN001200797 	J:265628 	
MGI:109562	Ackr3	atypical chemokine receptor 3	1		plasma membrane			ISO	RGD:620601 	J:155856 	
MGI:109562	Ackr3	atypical chemokine receptor 3	1		plasma membrane			ISO	P25106 	J:164563 	
MGI:2181676	Ackr4	atypical chemokine receptor 4	9		external side of plasma membrane			IBA	PTN001200797 	J:265628 	
MGI:2181676	Ackr4	atypical chemokine receptor 4	9		plasma membrane			IEA	KW-1003 	J:60000 	
MGI:103251	Acly	ATP citrate lyase	11		plasma membrane			ISO	P53396 	J:164563 	
MGI:87881	Acp1	acid phosphatase 1, soluble	12		cytoplasmic side of plasma membrane			ISO	P24666 	J:164563 	
MGI:87881	Acp1	acid phosphatase 1, soluble	12		sarcolemma	is a part of heart		IDA		J:227733 	
MGI:3644563	Acp4	acid phosphatase 4	7		postsynaptic membrane			IBA	PTN002611605 	J:265628 	
MGI:3644563	Acp4	acid phosphatase 4	7		postsynaptic membrane			ISO	RGD:1308270 	J:155856 	
MGI:1928480	Acpp	acid phosphatase, prostate	9		plasma membrane			IBA	PTN002480352 	J:265628 	
MGI:1928480	Acpp	acid phosphatase, prostate	9		plasma membrane	is a part of growth cone,is a part of spinal cord|is a part of sensory neuron of dorsal root ganglion,is a part of pain receptor cell		IDA		J:149872 	
MGI:1928480	Acpp	acid phosphatase, prostate	9		plasma membrane			IDA		J:175167 	
MGI:1928480	Acpp	acid phosphatase, prostate	9		plasma membrane			ISO	P15309 	J:164563 	
MGI:2385656	Acsbg1	acyl-CoA synthetase bubblegum family member 1	9		plasma membrane			ISO	Q96GR2 	J:164563 	
MGI:102797	Acsl1	acyl-CoA synthetase long-chain family member 1	8		plasma membrane			ISO	RGD:2015 	J:155856 	
MGI:1921455	Acsl3	acyl-CoA synthetase long-chain family member 3	1		plasma membrane			IBA	PTN000645126 	J:265628 	
MGI:1354713	Acsl4	acyl-CoA synthetase long-chain family member 4	X		plasma membrane			IBA	PTN000645126 	J:265628 	
MGI:1354713	Acsl4	acyl-CoA synthetase long-chain family member 4	X		plasma membrane			ISO	O60488 	J:164563 	
MGI:1919129	Acsl5	acyl-CoA synthetase long-chain family member 5	19		plasma membrane			ISO	Q9ULC5 	J:164563 	
MGI:1861453	Actl6a	actin-like 6A	3		plasma membrane			ISO	O96019 	J:164563 	
MGI:2137706	Actn1	actinin, alpha 1	12		plasma membrane			ISO	RGD:70907 	J:155856 	
MGI:109192	Actn2	actinin alpha 2	13	colocalizes_with	plasma membrane			ISO	P35609 	J:164563 	
MGI:109192	Actn2	actinin alpha 2	13		postsynaptic density membrane			ISO	RGD:1308097 	J:155856 	
MGI:87911	Acvr1	activin A receptor, type 1	2		activin receptor complex			ISO	RGD:620200 	J:155856 	
MGI:87911	Acvr1	activin A receptor, type 1	2		activin receptor complex			ISO	Q04771 	J:164563 	
MGI:87911	Acvr1	activin A receptor, type 1	2		BMP receptor complex			IBA	PTN000583833 	J:265628 	
MGI:87911	Acvr1	activin A receptor, type 1	2		integral component of plasma membrane			IDA		J:69633 	
MGI:87911	Acvr1	activin A receptor, type 1	2		integral component of plasma membrane			ISO	Q04771 	J:164563 	
MGI:87911	Acvr1	activin A receptor, type 1	2		plasma membrane			IBA	PTN002758232 	J:265628 	
